,date,open,close,high,low,volume,code
723,2010-12-21,3184.7,3249.51,3251.55,3168.89,79852420.0,sh000300
724,2010-12-22,3253.82,3215.45,3263.45,3201.67,69936258.0,sh000300
725,2010-12-23,3210.67,3188.61,3237.64,3183.15,61315847.0,sh000300
726,2010-12-24,3170.64,3162.96,3187.72,3139.45,55137767.0,sh000300
727,2010-12-27,3176.11,3099.71,3219.66,3092.26,70017107.0,sh000300
728,2010-12-28,3084.82,3044.93,3095.36,3041.33,56325749.0,sh000300
729,2010-12-29,3049.93,3061.83,3062.56,3025.22,45192775.0,sh000300
730,2010-12-30,3063.05,3064.1,3079.91,3027.9,54281429.0,sh000300
731,2010-12-31,3069.05,3128.26,3129.45,3067.11,62566078.0,sh000300
732,2011-01-04,3155.56,3189.68,3194.36,3143.6,85410440.0,sh000300
733,2011-01-05,3170.18,3175.66,3193.78,3158.87,79268810.0,sh000300
734,2011-01-06,3177.83,3159.64,3198.05,3152.57,59681092.0,sh000300
735,2011-01-07,3156.36,3166.62,3209.9,3141.12,84093233.0,sh000300
736,2011-01-10,3162.08,3108.19,3182.78,3102.43,65494406.0,sh000300
737,2011-01-11,3096.25,3124.92,3131.29,3084.51,56985917.0,sh000300
738,2011-01-12,3135.18,3142.34,3153.43,3099.41,58498518.0,sh000300
739,2011-01-13,3153.99,3141.28,3157.04,3127.16,51936988.0,sh000300
740,2011-01-14,3129.67,3091.86,3129.67,3083.51,53351439.0,sh000300
741,2011-01-17,3067.43,2974.35,3078.88,2968.61,66807562.0,sh000300
742,2011-01-18,2965.42,2977.65,2984.47,2947.6,42964564.0,sh000300
743,2011-01-19,2978.46,3044.85,3045.6,2967.24,56571942.0,sh000300
744,2011-01-20,3037.86,2944.71,3037.86,2944.5,61046643.0,sh000300
745,2011-01-21,2935.23,2983.46,3030.26,2935.14,73102966.0,sh000300
746,2011-01-24,2986.09,2954.23,2999.2,2943.92,65472545.0,sh000300
747,2011-01-25,2949.65,2938.65,2960.59,2919.16,48982689.0,sh000300
748,2011-01-26,2939.77,2978.43,2982.32,2939.36,43374979.0,sh000300
749,2011-01-27,2953.59,3026.47,3037.16,2935.27,82585919.0,sh000300
750,2011-01-28,3020.12,3036.74,3047.27,3011.38,63013589.0,sh000300
751,2011-01-31,3035.42,3076.51,3076.55,3032.45,67105914.0,sh000300
752,2011-02-01,3083.49,3077.28,3087.23,3062.83,49862530.0,sh000300
753,2011-02-09,3055.4,3040.95,3087.55,3031.75,60394145.0,sh000300
754,2011-02-10,3034.08,3104.16,3105.32,3024.35,66603662.0,sh000300
755,2011-02-11,3100.27,3120.96,3133.5,3092.58,75975553.0,sh000300
756,2011-02-14,3123.25,3219.14,3227.43,3123.25,121302331.0,sh000300
757,2011-02-15,3223.22,3217.67,3259.64,3215.62,109554438.0,sh000300
758,2011-02-16,3211.14,3248.53,3248.85,3195.47,91334283.0,sh000300
759,2011-02-17,3255.63,3245.91,3265.26,3218.91,88964695.0,sh000300
760,2011-02-18,3240.05,3211.88,3242.37,3203.12,75378684.0,sh000300
761,2011-02-21,3192.15,3257.91,3258.28,3189.85,79399776.0,sh000300
762,2011-02-22,3267.61,3163.58,3269.05,3161.83,107863741.0,sh000300
763,2011-02-23,3152.44,3174.74,3182.19,3145.99,71324854.0,sh000300
764,2011-02-24,3170.24,3190.94,3195.69,3157.97,66486893.0,sh000300
765,2011-02-25,3190.87,3197.62,3213.79,3159.85,61619275.0,sh000300
766,2011-02-28,3200.68,3239.56,3241.6,3178.83,76630663.0,sh000300
767,2011-03-01,3241.71,3254.89,3273.51,3235.75,88566954.0,sh000300
768,2011-03-02,3237.12,3243.3,3257.42,3202.83,80910641.0,sh000300
769,2011-03-03,3248.16,3221.72,3271.64,3221.04,101219997.0,sh000300
